City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
64,Bambous Virieux,MU,84.99,few clouds,-20.3428,57.7575,Casa Tia Villa
66,Dedougou,BF,75.81,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
72,Ca Mau,VN,92.62,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
73,Owando,CG,70.32,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
74,Papara,BR,75.99,few clouds,-3.9839,-38.7273,Romin
75,Touros,BR,73.4,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Huilong,CN,61.27,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
79,Maputo,MZ,73.99,few clouds,-25.9653,32.5892,Pestana Rovuma
83,Dongsheng,CN,60.66,clear sky,39.8161,109.9776,Crowne Plaza Ordos
84,Rocha,UY,67.05,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
89,Busselton,AU,77.0,few clouds,-33.65,115.3333,Observatory Guest House
91,Atar,MR,72.43,clear sky,20.5169,-13.0499,Oumou Elghoura
92,Banjar,ID,89.6,few clouds,-8.19,114.9675,The Hamsa Resort
95,Wanning,CN,82.44,broken clouds,18.8003,110.3967,Paradise Hotel
100,Santiago Del Estero,AR,64.15,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
101,Mount Gambier,AU,64.4,broken clouds,-37.8333,140.7667,Commodore on the Park
102,Phalaborwa,ZA,68.0,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
104,Ternate,ID,82.4,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
105,Mayo,US,60.8,clear sky,38.8876,-76.5119,Resorts Resource Group International
107,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
109,Saurimo,AO,65.12,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
111,Puerto Ayora,EC,75.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Kaitangata,NZ,63.0,light rain,-46.2817,169.8464,Kaitangata Motor Camp
115,Hilo,US,73.4,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
116,Biak,ID,81.81,overcast clouds,-0.9131,122.8766,Penginapan Kim
118,Mar Del Plata,AR,64.0,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
123,Sao Filipe,CV,69.67,clear sky,14.8961,-24.4956,Tortuga B&B
124,Lorengau,PG,83.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
125,Manyoni,TZ,62.02,overcast clouds,-5.7467,34.8382,bm lodge bm lodge
127,Dalbandin,PK,91.71,clear sky,28.8947,64.4101,Sanjrani House
128,Salalah,OM,91.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
