City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Ciudad Bolivar,VE,2021-03-25 12:39:23,8.1222,-63.5497,81.52,55,81,11.72
100,Kungurtug,RU,2021-03-25 12:42:12,50.5994,97.5228,22.86,85,100,1.7
101,Aranos,NA,2021-03-25 12:42:13,-24.1333,19.1167,83.35,23,0,1.92
102,Boddam,GB,2021-03-25 12:42:13,57.4667,-1.7833,53.01,66,40,16.11
103,Kapaa,US,2021-03-25 12:37:40,22.0752,-159.319,69.8,88,90,3.44
104,Koulamoutou,GA,2021-03-25 12:42:14,-1.1303,12.4736,75.88,84,100,2.68
105,Deputatskiy,RU,2021-03-25 12:42:14,69.3,139.9,-24.39,99,99,4.7
106,Kavieng,PG,2021-03-25 12:42:15,-2.5744,150.7967,82.62,74,39,13.58
107,Srednekolymsk,RU,2021-03-25 12:42:15,67.45,153.6833,-13.0,100,99,2.28
108,Caravelas,BR,2021-03-25 12:42:15,-17.7125,-39.2481,84.92,55,7,3.33
109,Novyy Urengoy,RU,2021-03-25 12:42:16,66.0833,76.6333,21.61,90,100,14.88
110,Nanortalik,GL,2021-03-25 12:42:16,60.1432,-45.2371,13.64,54,37,22.35
111,Rio Gallegos,AR,2021-03-25 12:42:17,-51.6226,-69.2181,46.4,46,40,9.22
112,Ponta Do Sol,PT,2021-03-25 12:42:17,32.6667,-17.1,73.0,77,20,9.22
113,Tuktoyaktuk,CA,2021-03-25 12:42:18,69.4541,-133.0374,-12.87,100,100,3.76
114,Puerto Quijarro,BO,2021-03-25 12:42:18,-17.7833,-57.7667,86.67,50,17,2.68
115,Sistranda,NO,2021-03-25 12:37:38,63.7256,8.834,48.2,57,40,10.36
116,Bourail,NC,2021-03-25 12:42:19,-21.5667,165.4833,74.8,77,94,6.67
117,Kavaratti,IN,2021-03-25 12:42:19,10.5669,72.642,83.75,72,39,6.55
118,Antofagasta,CL,2021-03-25 12:42:03,-23.65,-70.4,62.6,77,20,2.3
119,Beringovskiy,RU,2021-03-25 12:42:20,63.05,179.3167,-1.14,98,95,1.72
120,Shebalino,RU,2021-03-25 12:42:20,51.2917,85.6772,31.14,81,100,5.03
121,Fairbanks,US,2021-03-25 12:39:37,64.8378,-147.7164,19.99,86,90,1.86
122,Cayenne,GF,2021-03-25 12:42:20,4.9333,-52.3333,82.99,74,75,10.36
123,Hasaki,JP,2021-03-25 12:42:21,35.7333,140.8333,53.6,94,75,1.14
124,Laurel,US,2021-03-25 12:42:21,39.0993,-76.8483,57.0,94,90,3.44
125,Coahuayana,MX,2021-03-25 12:42:22,18.7333,-103.6833,63.23,46,14,3.8
126,Qaanaaq,GL,2021-03-25 12:42:22,77.484,-69.3632,-18.33,54,31,7.67
127,Yashkino,RU,2021-03-25 12:42:22,55.8736,85.4265,32.0,74,40,8.95
128,Ostrovnoy,RU,2021-03-25 12:42:23,68.0531,39.5131,34.09,96,100,25.84
129,Nyurba,RU,2021-03-25 12:42:24,63.2842,118.3319,12.33,92,100,5.37
130,Zhigansk,RU,2021-03-25 12:42:24,66.7697,123.3711,-3.12,95,100,14.43
131,Tarauaca,BR,2021-03-25 12:41:02,-8.1614,-70.7656,75.65,92,86,2.04
132,Manadhoo,MV,2021-03-25 12:42:26,5.7667,73.3833,83.62,70,100,12.3
133,Pampa,US,2021-03-25 12:39:32,35.5362,-100.9599,35.6,93,90,8.05
134,Praia Da Vitoria,PT,2021-03-25 12:42:27,38.7333,-27.0667,62.6,63,40,8.41
135,Batemans Bay,AU,2021-03-25 12:42:27,-35.7167,150.1833,60.01,92,10,4.54
136,Kruisfontein,ZA,2021-03-25 12:42:27,-34.0033,24.7314,79.0,60,55,8.99
137,Broome,US,2021-03-25 12:42:27,42.2506,-75.833,55.0,93,90,5.75
138,General Roca,AR,2021-03-25 12:42:28,-39.0333,-67.5833,55.4,71,40,6.91
139,Bukoba,TZ,2021-03-25 12:42:28,-1.3317,31.8122,82.4,54,20,9.22
140,Prince Rupert,CA,2021-03-25 12:39:19,54.3161,-130.3201,41.0,75,90,10.36
141,Oranjemund,NA,2021-03-25 12:42:29,-28.55,16.4333,70.16,73,14,12.97
142,Norman Wells,CA,2021-03-25 12:42:29,65.282,-126.8329,-4.0,77,75,4.61
143,Jatai,BR,2021-03-25 12:42:30,-17.8814,-51.7144,79.47,55,100,5.26
144,San Patricio,US,2021-03-25 12:42:30,28.017,-97.5169,71.6,83,90,11.5
145,Arraial Do Cabo,BR,2021-03-25 12:37:50,-22.9661,-42.0278,80.6,78,20,5.75
146,Klamath Falls,US,2021-03-25 12:41:36,42.2249,-121.7817,30.99,80,90,12.66
147,Bethel,US,2021-03-25 12:42:31,41.3712,-73.414,53.01,97,98,0.45
148,Eureka,US,2021-03-25 12:38:40,40.8021,-124.1637,46.99,90,91,5.01
149,Constitucion,CL,2021-03-25 12:37:59,-35.3333,-72.4167,58.17,52,100,5.28
150,Abay,KZ,2021-03-25 12:42:31,49.6311,72.8539,32.0,93,75,2.24
151,Kamenka,RU,2021-03-25 12:42:32,51.3223,42.7678,37.99,83,100,1.01
152,Parabel,RU,2021-03-25 12:42:32,58.6978,81.4825,29.88,97,100,6.2
153,Nizhnevartovsk,RU,2021-03-25 12:42:32,60.9344,76.5531,28.4,93,75,4.47
