City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,0,10.36,clear sky
108,Nyuksenitsa,RU,60.4128,44.2397,32.04,86,73,2.51,broken clouds
109,Saurimo,AO,-9.6608,20.3916,65.12,95,100,2.51,light rain
110,Clevelandia,BR,-26.3958,-52.4708,62.13,94,73,3.24,broken clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,75.0,93,24,1.01,few clouds
112,Bela,IN,25.9333,81.9833,96.03,10,0,7.67,clear sky
113,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,4.61,few clouds
114,Kaitangata,NZ,-46.2817,169.8464,63.0,81,100,4.59,light rain
115,Hilo,US,19.7297,-155.09,73.4,78,40,2.26,scattered clouds
116,Biak,ID,-0.9131,122.8766,81.81,76,89,3.31,overcast clouds
117,Constitucion,CL,-35.3333,-72.4167,57.36,62,0,7.27,clear sky
118,Mar Del Plata,AR,-38.0023,-57.5575,64.0,82,90,20.71,overcast clouds
119,High Level,CA,58.5169,-117.136,17.6,67,1,3.42,clear sky
120,Zuwarah,LY,32.9312,12.082,56.19,50,10,7.0,clear sky
121,Hinton,CA,53.4001,-117.5857,35.01,74,100,4.61,overcast clouds
122,Chokurdakh,RU,70.6333,147.9167,-5.82,92,87,6.4,overcast clouds
123,Sao Filipe,CV,14.8961,-24.4956,69.67,76,1,15.37,clear sky
124,Lorengau,PG,-2.0226,147.2712,83.91,68,98,5.79,overcast clouds
125,Manyoni,TZ,-5.7467,34.8382,62.02,95,100,2.19,overcast clouds
126,Severo-Kurilsk,RU,50.6789,156.125,26.28,84,100,30.09,snow
127,Dalbandin,PK,28.8947,64.4101,91.71,9,0,7.87,clear sky
128,Salalah,OM,17.0151,54.0924,91.4,13,0,1.14,clear sky
129,Asbe Teferi,ET,9.0833,40.8667,72.23,18,9,1.5,clear sky
130,Kutum,SD,14.2,24.6667,64.47,20,98,17.78,overcast clouds
131,San Patricio,US,28.017,-97.5169,73.4,94,90,9.22,overcast clouds
132,Hobart,AU,-42.8794,147.3294,60.01,55,75,18.41,broken clouds
133,Egvekinot,RU,66.3167,-179.1667,-13.11,85,76,8.01,broken clouds
134,Amahai,ID,-3.3333,128.9167,86.07,69,98,7.85,overcast clouds
135,Qaanaaq,GL,77.484,-69.3632,-9.49,70,100,5.66,overcast clouds
136,Kaka,TM,37.3482,59.6143,64.76,57,12,7.23,few clouds
137,Poum,NC,-20.2333,164.0167,81.9,72,12,5.32,few clouds
138,Riyadh,SA,24.6877,46.7219,86.0,13,0,2.3,clear sky
139,North Platte,US,41.1239,-100.7654,44.6,87,90,6.91,overcast clouds
140,Skjervoy,NO,70.0311,20.9714,36.66,74,40,17.29,scattered clouds
141,Chuy,UY,-33.6971,-53.4616,68.88,95,100,3.29,overcast clouds
142,Eyl,SO,7.9803,49.8164,84.6,54,84,14.16,broken clouds
143,Cabo San Lucas,MX,22.8909,-109.9124,64.4,59,1,13.65,clear sky
144,Hasaki,JP,35.7333,140.8333,64.99,48,90,11.5,overcast clouds
145,Kozhva,RU,65.1073,57.0459,23.68,89,78,8.79,broken clouds
146,Deming,US,32.2687,-107.7586,51.8,32,1,11.5,clear sky
147,Lagoa,PT,39.05,-27.9833,56.95,68,99,13.2,overcast clouds
148,San Felipe,VE,10.3399,-68.7425,70.36,93,100,5.77,overcast clouds
149,San Onofre,CO,9.7359,-75.5263,81.34,61,40,2.08,scattered clouds
150,Waingapu,ID,-9.6567,120.2641,84.07,73,81,5.73,light rain
151,Buala,SB,-8.145,159.5921,84.63,72,64,10.54,light rain
152,Nanortalik,GL,60.1432,-45.2371,4.44,73,36,19.3,scattered clouds
153,Howard Springs,AU,-12.497,131.047,93.0,83,75,14.97,broken clouds
154,Rio Gallegos,AR,-51.6226,-69.2181,42.8,81,0,2.3,clear sky
155,Katsuura,JP,35.1333,140.3,64.99,39,75,10.36,broken clouds
156,Castro,BR,-24.7911,-50.0119,62.92,91,75,0.78,broken clouds
157,Norcasia,CO,5.5778,-74.8852,69.89,97,100,1.92,light rain
158,Hithadhoo,MV,-0.6,73.0833,83.64,70,9,8.77,clear sky
159,Maniitsoq,GL,65.4167,-52.9,-15.14,83,20,9.37,few clouds
160,Cockburn Town,TC,21.4612,-71.1419,77.2,76,1,22.39,clear sky
161,Vanavara,RU,60.34,102.2797,29.03,76,93,10.87,overcast clouds
162,Santo Domingo,DO,18.5001,-69.9886,75.0,88,20,4.61,few clouds
163,Yellowknife,CA,62.456,-114.3525,-0.99,77,40,3.44,scattered clouds
164,Sabha,LY,27.0377,14.4283,51.66,50,0,8.48,clear sky
165,Mahon,ES,39.8885,4.2658,53.6,94,40,13.8,scattered clouds
166,Saint-Pierre,RE,-21.3393,55.4781,84.99,65,0,5.75,clear sky
167,Tamworth,GB,52.634,-1.6959,37.0,79,24,5.01,few clouds
168,Faanui,PF,-16.4833,-151.75,83.08,73,29,22.97,scattered clouds
169,Semporna,MY,4.4818,118.6112,86.0,74,20,4.61,few clouds
170,Itarema,BR,-2.9248,-39.9167,74.07,92,97,0.36,overcast clouds
171,Isangel,VU,-19.55,169.2667,81.03,79,56,7.43,broken clouds
172,Padang,ID,-0.9492,100.3543,86.0,66,20,4.61,few clouds
173,Manbij,SY,36.5281,37.9549,37.4,65,0,9.22,clear sky
174,Labuhan,ID,-6.8844,112.2051,84.96,71,100,5.61,overcast clouds
175,New Norfolk,AU,-42.7826,147.0587,60.01,61,62,3.0,light rain
176,Sisimiut,GL,66.9395,-53.6735,-12.55,98,68,10.69,broken clouds
177,Okha,RU,53.5739,142.9478,22.3,82,93,7.87,overcast clouds
178,Mizdah,LY,31.4451,12.9801,48.18,62,0,3.65,clear sky
179,Lompoc,US,34.6391,-120.4579,50.0,87,0,5.17,clear sky
180,Oriximina,BR,-1.7656,-55.8661,72.63,96,84,2.77,broken clouds
181,Lebu,CL,-37.6167,-73.65,53.62,86,75,17.92,broken clouds
182,Margate,GB,51.3813,1.3862,39.0,71,86,3.0,overcast clouds
183,Ures,MX,29.4333,-110.4,57.99,53,0,5.01,clear sky
184,Ugoofaaru,MV,5.6667,73.0,83.08,75,100,10.4,overcast clouds
185,Port Alfred,ZA,-33.5906,26.891,69.21,74,84,19.93,broken clouds
186,East London,ZA,-33.0153,27.9116,66.2,77,20,14.97,few clouds
187,Springfield,US,37.2153,-93.2982,55.99,71,1,16.11,clear sky
188,Boende,CD,-0.2167,20.8667,70.72,95,82,2.86,broken clouds
189,Shimoda,JP,34.6667,138.95,60.8,55,75,3.44,broken clouds
190,Hualmay,PE,-11.0964,-77.6139,68.88,85,76,6.26,broken clouds
191,Tyumentsevo,RU,53.3224,81.498,30.45,84,72,9.01,broken clouds
192,Brandon,US,27.9378,-82.2859,73.0,88,1,1.34,clear sky
193,Dunedin,NZ,-45.8742,170.5036,64.0,59,100,1.01,light rain
194,Muncar,ID,-8.4333,114.3333,86.05,66,89,6.15,overcast clouds
195,Bilibino,RU,68.0546,166.4372,-7.29,92,68,1.88,broken clouds
196,Kodino,RU,63.7198,39.6447,28.65,87,87,1.19,overcast clouds
197,Fort Nelson,CA,58.8053,-122.7002,28.4,80,75,3.44,broken clouds
198,Tuatapere,NZ,-46.1333,167.6833,63.0,76,100,4.0,overcast clouds
199,Almeirim,BR,-1.5233,-52.5817,71.6,98,100,3.29,overcast clouds
200,Svetlaya,RU,46.5389,138.3297,35.37,82,100,16.46,light rain
201,Acapulco,MX,16.8634,-99.8901,74.55,83,3,2.91,clear sky
202,Ilebo,CD,-4.3167,20.5833,69.53,98,100,3.24,light rain
203,Turochak,RU,52.2576,87.1224,31.93,95,32,3.13,scattered clouds
204,Dalvik,IS,65.9702,-18.5286,8.6,72,20,6.91,light snow
205,Kalabo,ZM,-14.97,22.6814,69.06,87,100,4.76,light rain
206,Valparaiso,CL,-33.0393,-71.6273,46.4,100,0,1.14,clear sky
207,Vredendal,ZA,-31.6683,18.5012,63.34,88,14,4.68,few clouds
208,Cordoba,AR,-31.4135,-64.1811,55.99,76,0,4.61,clear sky
209,Saint-Joseph,RE,-21.3667,55.6167,84.99,65,0,5.75,clear sky
210,Tungor,RU,53.3808,142.9564,22.68,81,59,7.67,broken clouds
211,Galle,LK,6.0367,80.217,87.33,61,100,5.95,overcast clouds
212,Jacareacanga,BR,-6.2222,-57.7528,71.15,97,34,0.98,light rain
213,Wonthaggi,AU,-38.6044,145.5913,68.0,68,26,13.0,scattered clouds
214,Asheville,US,35.6009,-82.554,52.0,71,1,1.66,clear sky
215,Marsabit,KE,2.3284,37.9899,69.55,63,98,14.47,overcast clouds
216,Haines Junction,CA,60.7522,-137.5108,28.4,69,59,3.44,broken clouds
217,Dikson,RU,73.5069,80.5464,-7.33,99,99,10.92,overcast clouds
218,Turburea,RO,44.7167,23.5167,35.6,75,0,2.3,clear sky
219,Bengkulu,ID,-3.8004,102.2655,84.27,68,100,6.33,overcast clouds
220,Viedma,AR,-40.8135,-62.9967,51.8,71,8,5.21,clear sky
221,Bulungu,CD,-4.55,18.6,68.74,99,100,3.42,moderate rain
222,Tasiilaq,GL,65.6145,-37.6368,8.6,61,90,13.8,light snow
223,Dubbo,AU,-32.25,148.6167,77.0,31,40,10.36,scattered clouds
224,Kenora,CA,49.8167,-94.4337,32.0,100,90,4.61,fog
225,Kapuskasing,CA,49.4169,-82.4331,12.2,92,75,2.3,broken clouds
226,Kansanshi,ZM,-12.0951,26.4273,61.38,97,100,2.89,overcast clouds
227,Goundam,ML,16.4145,-3.6708,69.33,11,0,9.75,clear sky
228,Lasa,IT,46.6166,10.7002,50.0,93,75,2.3,broken clouds
229,Paamiut,GL,61.994,-49.6678,-4.49,77,2,28.1,clear sky
230,Cayenne,GF,4.9333,-52.3333,79.0,94,75,3.44,broken clouds
231,Cheyenne,US,41.14,-104.8203,28.4,93,1,5.75,clear sky
232,Muroto,JP,33.2833,134.15,66.2,59,75,9.22,broken clouds
233,Hofn,IS,64.2539,-15.2082,14.18,69,2,16.78,clear sky
234,Krasnogorskiy,RU,54.6025,61.231,29.08,78,100,6.6,overcast clouds
235,Champerico,GT,14.3,-91.9167,64.99,95,4,7.23,clear sky
236,Clyde River,CA,70.4692,-68.5914,-14.8,64,1,5.75,clear sky
237,Atikokan,CA,48.7555,-91.6216,28.54,90,100,5.41,overcast clouds
238,Eenhana,NA,-17.4667,16.3333,67.53,86,94,2.35,overcast clouds
239,Inhambane,MZ,-23.865,35.3833,78.8,83,40,4.61,light rain
240,Makakilo City,US,21.3469,-158.0858,77.0,69,1,3.44,clear sky
241,Tura,IN,25.5198,90.2201,94.14,6,0,6.96,clear sky
242,Dingle,PH,10.9995,122.6711,87.6,59,87,12.57,overcast clouds
243,Kungurtug,RU,50.5994,97.5228,27.97,52,38,3.58,scattered clouds
244,Tres Lagoas,BR,-20.7511,-51.6783,73.2,54,38,2.77,scattered clouds
245,Hojai,IN,26.0,92.8667,96.67,8,0,4.21,clear sky
246,Pacific Grove,US,36.6177,-121.9166,52.0,81,0,4.41,clear sky
247,Geraldton,AU,-28.7667,114.6,82.4,42,0,19.57,clear sky
248,Mahebourg,MU,-20.4081,57.7,82.4,78,20,1.54,few clouds
249,Te Anau,NZ,-45.4167,167.7167,60.31,72,100,4.27,light rain
250,Kupang,ID,-10.1667,123.5833,87.8,70,40,9.22,scattered clouds
251,Garmsar,IR,35.2182,52.3409,71.24,14,46,17.78,scattered clouds
252,Dhemaji,IN,27.4833,94.5833,84.2,48,40,3.44,haze
253,Grand-Santi,GF,4.25,-54.3833,70.27,99,74,2.24,broken clouds
254,Yaan,NG,7.3833,8.5667,78.62,70,66,5.12,broken clouds
255,Tiarei,PF,-17.5333,-149.3333,84.2,61,20,3.44,light rain
256,Shache,CN,38.4167,77.2406,73.58,15,23,11.81,few clouds
257,Port Hedland,AU,-20.3167,118.5667,96.8,38,0,8.05,clear sky
258,Raton,US,36.9034,-104.4391,37.4,48,1,4.61,clear sky
259,Ullapool,GB,57.8987,-5.1604,39.0,49,98,7.0,overcast clouds
260,Pangnirtung,CA,66.1451,-65.7125,-22.63,78,8,5.12,clear sky
261,Broken Hill,AU,-31.95,141.4333,77.0,27,40,11.5,scattered clouds
262,Axim,GH,4.8699,-2.2405,78.53,86,17,5.01,few clouds
263,Talnakh,RU,69.4865,88.3972,20.84,93,100,7.58,light snow
264,Alice Springs,AU,-23.7,133.8833,91.4,25,3,6.91,clear sky
265,Ararangua,BR,-28.9347,-49.4858,70.36,92,100,2.24,overcast clouds
266,Shagonar,RU,51.5333,92.8,23.52,72,5,0.29,clear sky
267,Tautira,PF,-17.7333,-149.15,84.2,61,20,3.44,light rain
268,Hamilton,US,39.1834,-84.5333,46.0,93,1,0.25,clear sky
269,Anchorage,US,61.2181,-149.9003,27.0,68,90,2.91,overcast clouds
270,Beruwala,LK,6.4788,79.9828,86.2,64,100,4.34,overcast clouds
271,Ahipara,NZ,-35.1667,173.1667,66.25,83,100,11.63,light rain
272,Charters Towers,AU,-20.1,146.2667,89.85,36,12,13.38,few clouds
273,Tilbury,GB,51.4625,0.3586,39.99,76,58,11.99,broken clouds
274,Hami,CN,42.8,93.45,65.8,21,93,10.89,overcast clouds
275,Blackwater,AU,-23.5833,148.8833,89.65,25,2,2.55,clear sky
276,Canaway,PH,13.3185,123.7131,82.35,70,87,6.6,overcast clouds
277,La Paz,BO,-16.5,-68.15,39.2,100,75,4.61,fog
278,Mangrol,IN,21.1167,70.1167,91.51,31,3,4.03,clear sky
279,Gallup,US,35.5281,-108.7426,32.0,86,90,5.75,light snow
